pond_id,area_m2,area_mu,bnd_n,h05,h50,h75,h95,hmean,v05_m3,v50_m3,v75_m3,v95_m3,vmean_m3,dem_min,dem_mean,dem_max,qa
12415,18500.0,27.75,221,17.0,19.0,19.0,21.0,18.751,250.0,12775.0,12775.0,51350.0,10434.4,14.0,18.633,27.0,OK
12444,11900.0,17.85,213,12.0,13.0,14.0,16.0,13.025,450.0,7550.0,17875.0,44900.0,7808.125,11.0,12.952,17.0,OK
12526,3000.0,4.5,85,15.0,15.0,16.0,16.0,15.432,100.0,100.0,2350.0,2350.0,1072.0,14.0,15.454,17.0,OK
12539,700.0,1.05,25,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,OK
12580,1000.0,1.5,33,5.0,5.0,6.0,6.4,5.387,0.0,0.0,875.0,1425.0,338.625,5.0,5.421,7.0,OK
12594,65100.0,97.65,699,14.0,16.0,16.0,17.0,15.635,75.0,28150.0,28150.0,98875.0,19764.125,13.0,15.66,17.0,OK
12598,60000.0,90.0,642,12.0,16.0,17.0,19.0,15.283,75.0,82550.0,135425.0,252750.0,56594.6,11.0,15.329,20.0,OK
12648,37600.0,56.4,265,18.0,19.0,20.0,21.0,19.045,525.0,17550.0,51725.0,91325.0,19087.875,17.0,18.769,22.0,OK
12735,36400.0,54.6,238,5.0,6.0,7.0,8.0,6.502,550.0,10725.0,39050.0,77375.0,24944.15,4.0,6.034,9.0,OK
12750,105300.0,157.95,465,36.0,38.0,40.0,41.0,38.231,1225.0,78175.0,231675.0,335750.0,93467.2,35.0,37.98,42.0,OK
12779,114700.0,172.05,977,11.0,11.0,12.0,12.0,11.35,8700.0,8700.0,102350.0,102350.0,41477.5,9.0,11.225,14.0,OK
12784,33900.0,50.85,421,17.0,19.0,19.0,21.0,18.673,900.0,25200.0,25200.0,94325.0,19175.025,16.0,18.62,24.0,OK
12801,500.0,0.75,25,6.0,6.0,7.0,7.0,6.28,0.0,0.0,675.0,675.0,189.0,6.0,6.182,7.0,OK
12811,82100.0,123.15,466,17.0,19.0,20.0,21.0,19.004,375.0,41750.0,106850.0,188525.0,42010.4,16.0,18.879,23.0,OK
12918,55000.0,82.5,501,12.0,15.0,16.0,17.0,14.736,400.0,38625.0,66175.0,116950.0,33701.4,11.0,15.105,18.0,OK
12954,5800.0,8.7,113,7.0,8.0,9.0,9.0,7.798,0.0,3125.0,8875.0,8875.0,2493.75,7.0,7.824,10.0,OK
12972,29300.0,43.95,346,17.0,19.0,20.0,21.0,19.21,1100.0,18925.0,43150.0,73700.0,24012.25,14.0,18.81,22.0,OK
12982,2300.0,3.45,53,15.0,17.0,17.0,17.0,16.472,0.0,2225.0,2225.0,2225.0,1248.2,15.0,16.252,17.0,OK
13010,7600.0,11.4,89,19.0,20.0,21.0,23.0,20.391,0.0,1375.0,3850.0,14550.0,2342.725,19.0,21.418,24.0,OK
13014,4200.0,6.3,73,12.0,13.0,13.0,14.0,12.658,0.0,3625.0,3625.0,8625.0,2385.25,12.0,12.317,14.0,OK
13029,21200.0,31.8,285,11.0,12.0,13.0,13.0,12.169,0.0,2100.0,22100.0,22100.0,5480.0,11.0,12.129,14.0,OK
13079,76000.0,114.0,503,12.0,15.0,16.5,21.0,15.297,50.0,66725.0,136425.0,413875.0,79458.875,11.0,16.285,26.0,OK
13099,5800.0,8.7,101,31.0,32.0,33.0,34.0,32.119,0.0,1925.0,7175.0,13700.0,2549.75,31.0,32.064,34.0,OK
13123,94100.0,141.15,663,16.0,17.0,19.0,24.0,18.075,6700.0,53700.0,198500.0,674450.0,125286.25,14.0,17.418,26.0,OK
13182,171300.0,256.95,1494,19.0,22.0,24.0,26.0,22.437,7325.0,123025.0,332100.0,636450.0,162562.575,17.0,22.658,28.0,OK
13186,10800.0,16.2,145,30.0,31.0,34.0,35.0,31.985,2200.0,8200.0,34100.0,45400.0,15809.125,27.0,31.448,36.0,OK
13192,11400.0,17.1,153,19.0,21.0,22.0,23.0,21.118,0.0,5625.0,15700.0,28675.0,6813.85,19.0,20.848,23.0,OK
13193,22100.0,33.15,265,16.0,17.0,17.0,18.0,16.788,0.0,8275.0,8275.0,30075.0,6520.7,16.0,16.842,19.0,OK
13202,28700.0,43.05,161,12.0,15.0,16.0,17.0,14.911,2275.0,46000.0,72875.0,102775.0,44070.925,9.0,13.655,17.0,OK
13204,1000.0,1.5,37,13.8,14.0,14.0,14.0,14.0,40.0,50.0,50.0,50.0,50.0,13.0,13.966,14.0,OK
13211,9300.0,13.95,149,12.0,12.0,13.0,13.0,12.43,275.0,275.0,6600.0,6600.0,2994.75,11.0,12.474,16.0,OK
13217,205500.0,308.25,1557,0.0,2.0,3.0,4.0,2.215,12950.0,130125.0,269400.0,461875.0,160069.125,-6.0,2.005,8.0,OK
13222,5200.0,7.8,77,12.0,14.0,15.0,16.0,14.13,0.0,1675.0,5725.0,10625.0,2201.5,12.0,14.279,16.0,OK
13242,122100.0,183.15,1031,0.0,9.0,12.0,15.0,8.894,8650.0,226550.0,524850.0,902750.0,218544.35,-4.0,8.318,16.0,OK
13299,2100.0,3.15,49,44.0,45.0,45.0,45.0,44.551,0.0,1475.0,1475.0,1475.0,812.725,44.0,44.459,45.0,OK
13317,2700.0,4.05,61,30.0,30.0,32.0,32.0,30.738,0.0,0.0,4425.0,4425.0,1125.45,30.0,30.727,32.0,OK
13322,1700.0,2.55,45,9.0,9.0,9.0,10.0,9.163,25.0,25.0,25.0,2100.0,363.225,8.0,9.077,10.0,OK
13325,3000.0,4.5,61,13.0,14.0,14.0,14.0,13.661,0.0,1975.0,1975.0,1975.0,1305.475,13.0,13.49,15.0,OK
13366,1400.0,2.1,41,42.0,43.0,43.0,43.0,42.537,0.0,900.0,900.0,900.0,483.3,42.0,42.532,43.0,OK
13381,19300.0,28.95,149,19.4,23.0,24.0,25.0,22.394,160.0,28400.0,42775.0,61975.0,21309.8,19.0,22.08,26.0,OK
13403,1000.0,1.5,29,18.4,19.0,19.0,20.0,19.185,20.0,50.0,50.0,1275.0,276.625,18.0,19.073,20.0,OK
13418,1200.0,1.8,37,1.8,2.0,2.0,3.0,2.257,40.0,50.0,50.0,1350.0,384.1,1.0,2.194,3.0,OK
13462,800.0,1.2,29,24.0,25.0,25.0,26.0,24.828,0.0,375.0,375.0,1450.0,310.5,24.0,24.766,26.0,OK
13476,34800.0,52.2,233,4.0,6.0,7.0,10.0,6.481,1600.0,11250.0,26250.0,105950.0,18465.0,-2.0,7.192,10.0,OK
13478,17700.0,26.55,141,22.0,25.0,26.0,26.0,24.679,3150.0,17625.0,33450.0,33450.0,15233.55,19.0,24.286,27.0,OK
13519,600.0,0.9,29,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,OK
13567,35700.0,53.55,314,12.0,13.0,14.0,14.0,13.19,975.0,5750.0,39500.0,39500.0,12162.5,11.0,13.011,15.0,OK
13575,17200.0,25.8,217,32.0,34.0,36.0,38.0,34.336,175.0,14025.0,42750.0,78175.0,18771.0,31.0,34.078,39.0,OK
13636,17500.0,26.25,149,13.4,17.0,18.0,19.0,17.27,130.0,8875.0,24425.0,43175.0,13073.5,13.0,16.772,19.0,OK
13650,17100.0,25.65,185,30.0,32.0,32.0,33.0,31.556,0.0,9425.0,9425.0,26900.0,5695.4,30.0,31.624,34.0,OK
13660,177300.0,265.95,1042,7.0,10.0,12.0,15.0,10.556,400.0,128975.0,399750.0,921975.0,197029.4,5.0,10.191,17.0,OK
13681,25600.0,38.4,345,24.0,25.0,25.0,26.0,24.79,575.0,9725.0,9725.0,37175.0,7803.5,23.0,24.758,26.0,OK
13702,99600.0,149.4,918,11.0,13.0,14.0,17.0,13.292,0.0,31125.0,108975.0,422450.0,53857.2,11.0,13.235,20.0,OK
13704,43200.0,64.8,450,14.0,15.0,16.0,18.0,15.52,2250.0,14600.0,48050.0,140550.0,31994.0,13.0,15.122,19.0,OK
13800,6100.0,9.15,141,42.0,43.0,44.0,44.0,42.95,0.0,2700.0,8800.0,8800.0,2565.0,42.0,42.883,44.0,OK
13837,40800.0,61.2,531,21.0,26.0,27.0,28.0,25.721,1050.0,32850.0,65650.0,110625.0,28957.95,19.0,25.682,29.0,OK
13851,1600.0,2.4,45,27.0,27.0,28.0,28.0,27.467,0.0,0.0,1300.0,1300.0,607.1,27.0,27.402,28.0,OK
13859,32100.0,48.15,193,19.0,23.0,23.0,25.0,22.661,0.0,28625.0,28625.0,94075.0,22116.2,19.0,22.276,26.0,OK
13883,132700.0,199.05,825,0.0,2.0,3.0,4.0,2.034,25.0,77650.0,188900.0,323050.0,81432.5,-1.0,1.741,4.0,OK
13928,1200.0,1.8,37,45.0,45.0,45.0,45.2,45.0,100.0,100.0,100.0,425.0,100.0,44.0,44.97,46.0,OK
13992,3100.0,4.65,69,11.4,14.0,15.0,16.0,14.194,85.0,2550.0,4725.0,8125.0,2971.95,10.0,14.0,17.0,OK
13999,15600.0,23.4,273,26.0,29.0,29.0,30.0,28.392,0.0,13575.0,13575.0,30275.0,8741.4,26.0,28.409,30.0,OK
14038,1000.0,1.5,41,15.0,15.0,15.0,16.0,15.244,0.0,0.0,0.0,1200.0,292.8,15.0,15.213,16.0,OK
14128,116000.0,174.0,850,13.0,14.0,14.0,16.0,14.006,7150.0,52100.0,52100.0,276500.0,52727.6,11.0,13.825,17.0,OK
14137,3600.0,5.4,77,8.0,14.0,15.0,16.0,13.299,0.0,4050.0,5675.0,9575.0,3243.85,8.0,13.907,16.0,OK
14195,32400.0,48.6,357,13.0,14.0,15.0,15.0,14.057,900.0,12000.0,39500.0,39500.0,13567.5,12.0,13.944,18.0,OK
14201,1000.0,1.5,33,-12.4,-11.0,-10.0,-9.0,-10.581,30.0,250.0,1075.0,2350.0,595.675,-13.0,-10.649,-9.0,OK
14213,1700.0,2.55,45,23.0,24.0,24.0,24.8,23.524,0.0,1425.0,1425.0,3185.0,746.7,23.0,23.407,25.0,OK
14257,6300.0,9.45,105,23.0,24.0,24.0,25.0,23.619,0.0,3475.0,3475.0,10925.0,2151.025,23.0,23.567,25.0,OK
14314,600.0,0.9,25,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.027,26.0,OK
14336,1100.0,1.65,45,16.0,16.0,16.0,16.0,16.0,50.0,50.0,50.0,50.0,50.0,15.0,15.97,16.0,OK
14341,13700.0,20.55,137,18.0,19.0,21.0,26.0,20.18,650.0,5775.0,25850.0,94275.0,16522.5,17.0,19.891,27.0,OK
14354,15400.0,23.1,237,10.0,15.0,16.0,18.0,14.305,325.0,22625.0,34325.0,66950.0,16682.75,8.0,14.376,20.0,OK
14355,48100.0,72.15,329,19.0,21.0,21.0,21.0,20.531,175.0,17000.0,17000.0,17000.0,10140.875,18.0,20.713,22.0,OK
14357,172000.0,258.0,1794,4.0,7.0,10.0,12.0,7.293,4775.0,204775.0,587325.0,947675.0,237869.35,0.0,7.124,14.0,OK
14439,26500.0,39.75,249,25.0,28.0,29.0,31.0,28.045,375.0,15050.0,30375.0,84100.0,15739.625,24.0,28.162,32.0,OK
14444,20100.0,30.15,189,15.0,16.0,17.0,18.0,16.118,0.0,5050.0,21575.0,43200.0,6999.95,15.0,16.081,19.0,OK
14449,2400.0,3.6,53,15.0,16.0,16.0,16.0,15.623,0.0,1300.0,1300.0,1300.0,809.9,15.0,15.577,16.0,OK
14485,700.0,1.05,25,34.0,35.0,35.0,36.0,35.0,25.0,125.0,125.0,1075.0,125.0,33.0,34.951,36.0,OK
14570,15200.0,22.8,249,24.0,26.0,27.0,28.0,26.186,300.0,8575.0,20450.0,36925.0,10783.75,23.0,25.99,29.0,OK
14624,15800.0,23.7,197,28.0,29.0,30.0,32.0,29.508,0.0,1650.0,13075.0,47225.0,7453.9,28.0,29.428,34.0,OK
14737,4200.0,6.3,73,28.0,28.0,29.0,30.0,28.638,575.0,575.0,4175.0,8600.0,2871.8,27.0,28.327,31.0,OK
14826,1300.0,1.95,49,9.0,10.0,10.0,10.0,9.833,0.0,300.0,300.0,300.0,249.9,9.0,9.87,11.0,OK
14841,15100.0,22.65,177,30.0,31.0,32.0,33.0,31.298,2375.0,7150.0,19125.0,35575.0,10718.55,28.0,30.948,34.0,OK
14884,43900.0,65.85,237,8.8,11.0,11.0,13.0,10.577,14860.0,58700.0,58700.0,145125.0,47596.25,3.0,9.974,19.0,OK
14933,8300.0,12.45,173,43.0,46.0,47.0,48.4,45.835,0.0,7075.0,13650.0,27220.0,6427.375,43.0,45.826,50.0,OK
14941,5000.0,7.5,105,7.0,8.0,9.0,9.0,8.41,0.0,400.0,3525.0,3525.0,1681.25,7.0,8.443,9.0,OK
14974,1800.0,2.7,61,47.0,48.0,49.0,51.0,48.169,0.0,900.0,2875.0,7625.0,1233.775,47.0,48.058,52.0,OK
15007,800.0,1.2,29,46.0,47.0,47.0,47.0,46.655,0.0,375.0,375.0,375.0,245.625,46.0,46.681,47.0,OK
15008,82700.0,124.05,528,16.0,17.0,18.0,20.0,17.608,3050.0,17725.0,64350.0,220750.0,46073.0,14.0,17.601,24.0,OK
15046,17900.0,26.85,225,7.0,8.0,9.0,10.0,8.223,0.0,4300.0,20225.0,39900.0,7851.275,7.0,8.097,11.0,OK
15052,52900.0,79.35,538,6.0,10.0,12.0,13.0,9.836,300.0,69425.0,163625.0,221175.0,64152.4,4.0,9.291,14.0,OK
15069,2300.0,3.45,49,48.4,49.0,51.0,51.0,49.674,60.0,150.0,4450.0,4450.0,1447.45,48.0,49.479,51.0,OK
15084,4800.0,7.2,109,16.0,18.0,18.0,20.0,17.694,25.0,2825.0,2825.0,12700.0,2220.65,15.0,18.081,23.0,OK
15095,58700.0,88.05,575,41.7,47.0,48.0,49.0,46.781,7090.0,71975.0,120875.0,184400.0,66390.5,37.0,46.2,50.0,OK
15164,4000.0,6.0,81,16.0,17.0,18.0,18.0,17.358,0.0,625.0,3975.0,3975.0,1824.3,16.0,17.209,18.0,OK
15198,19800.0,29.7,273,42.0,45.0,48.0,52.0,45.848,75.0,11850.0,61875.0,146575.0,23658.4,41.0,45.705,54.0,OK
15240,20500.0,30.75,181,44.0,46.0,47.0,49.0,46.13,2400.0,16275.0,31425.0,72700.0,18244.5,42.0,45.814,50.0,OK
15255,74400.0,111.6,514,5.0,8.0,9.0,10.35,7.92,825.0,34025.0,79375.0,174000.0,32189.0,4.0,8.229,12.0,OK
15291,10300.0,15.45,137,17.0,19.0,22.0,24.0,19.949,25.0,5975.0,31775.0,53000.0,12997.6,16.0,19.593,24.0,OK
15315,49500.0,74.25,573,4.0,6.0,6.0,8.0,5.52,4350.0,47275.0,47275.0,149950.0,34591.0,2.0,5.365,9.0,OK
15324,1100.0,1.65,33,5.0,6.0,6.0,7.0,5.818,0.0,375.0,375.0,1725.0,306.75,5.0,5.869,7.0,OK
15351,500.0,0.75,25,20.0,20.0,21.0,21.0,20.36,0.0,0.0,500.0,500.0,180.0,20.0,20.394,21.0,OK
15382,2600.0,3.9,61,9.0,10.0,11.0,11.0,9.898,0.0,1300.0,4200.0,4200.0,1167.4,9.0,9.778,13.0,OK
15398,3100.0,4.65,61,21.0,21.0,22.0,22.0,21.333,25.0,25.0,2475.0,2475.0,840.85,20.0,21.381,23.0,OK
15405,744800.0,1117.2,4208,0.0,3.0,3.0,5.0,2.511,20600.0,767300.0,767300.0,2186425.0,541650.95,-18.0,2.28,9.0,OK
15415,264100.0,396.15,1888,7.0,9.0,10.0,14.0,9.46,800.0,134000.0,329200.0,1380725.0,223792.0,5.0,9.208,16.0,OK
15426,2000.0,3.0,49,9.0,10.0,10.0,10.0,9.51,0.0,1175.0,1175.0,1175.0,599.25,9.0,9.552,10.0,OK
15438,68000.0,102.0,653,40.0,46.0,48.0,49.0,45.868,16025.0,132550.0,244400.0,314375.0,127085.2,34.0,44.9,54.0,OK
15489,6900.0,10.35,97,13.0,14.0,14.0,15.0,14.021,0.0,725.0,725.0,5950.0,834.725,13.0,14.268,15.0,OK
15491,53700.0,80.55,465,19.0,22.0,22.0,24.0,21.444,600.0,40350.0,40350.0,145375.0,27562.0,18.0,21.565,26.0,OK
15506,1200.0,1.8,33,20.0,20.0,21.0,21.0,20.29,75.0,75.0,1025.0,1025.0,350.5,19.0,20.562,24.0,OK
15513,100400.0,150.6,744,20.0,21.0,21.0,23.0,20.952,3175.0,37225.0,37225.0,222450.0,35590.6,18.0,21.007,27.0,OK
15517,21100.0,31.65,317,43.0,46.0,48.0,50.0,46.734,425.0,11500.0,41700.0,82775.0,20840.15,42.0,46.717,52.0,OK
15525,2100.0,3.15,69,20.0,22.0,22.0,22.0,21.424,50.0,1650.0,1650.0,1650.0,930.0,19.0,21.441,22.0,OK
15561,62200.0,93.3,505,8.0,9.0,9.0,10.0,8.683,5475.0,33075.0,33075.0,84450.0,24325.8,6.0,8.846,13.0,OK
15567,105300.0,157.95,1162,17.0,20.0,21.0,22.0,20.217,975.0,48850.0,118400.0,223775.0,63942.35,15.0,20.193,26.0,OK
15574,353300.0,529.95,2472,4.0,9.0,11.0,13.0,9.048,11525.0,417550.0,917900.0,1600025.0,428131.6,-5.0,8.842,15.0,OK
15582,5000.0,7.5,97,22.0,22.0,24.0,24.0,22.71,50.0,50.0,7475.0,7475.0,2197.75,21.0,22.896,26.0,OK
15594,3600.0,5.4,65,9.0,9.0,10.0,10.0,9.279,75.0,75.0,2925.0,2925.0,870.15,8.0,9.35,11.0,OK
15601,700.0,1.05,25,23.0,24.0,24.0,24.0,23.68,0.0,250.0,250.0,250.0,170.0,23.0,23.756,24.0,OK
15628,2800.0,4.2,69,29.0,30.0,30.0,30.0,29.594,0.0,1200.0,1200.0,1200.0,712.8,29.0,29.755,31.0,OK
15674,700.0,1.05,25,49.0,50.0,51.0,51.0,50.25,0.0,100.0,775.0,775.0,268.75,49.0,50.268,52.0,OK
15690,29900.0,44.85,237,9.0,13.0,14.0,15.2,12.736,600.0,32775.0,55600.0,91125.0,28544.4,7.0,12.437,16.0,OK
15708,20800.0,31.2,313,40.0,45.0,47.0,48.0,45.037,2250.0,22300.0,53675.0,76275.0,22805.975,35.0,44.916,49.0,OK
